Headline,keyword,post date,"""","""","""",""""
car bomb kills eight people near US Embassy in Kabul,"car,bomb,kill,US,Kabul",20170503,"""","""","""",""""
The FBI who went rogue and married an ISIS terrorist,"FBI,marry,ISIS,terrorist",20170502,"""","""","""",""""
Climate change march in Washington,"climate,march,washington",20170430,"""","""","""",""""
Trump wants South Korea to pay for $1B missile defense system,"Trump,Korea,pay,missile,defense",20170428,"""","""","""",""""
United Airlines is under fire after a passenger was dragged off of an overbooked flight,"united,airline,overbook,flight",20170411,"""","""","""",""""
Trump becomes 45th president of the united states,"united states,president,Trump",20170121,"""","""","""",""""
Macron is on course for a decisive win over Le Pen in the French presidential election,"Macron,election",20170507,"""","""","""",""""
Pope Francis in Egypt: 'No to every form of violence',"Francis,Pope,Egypt",20170428,"""","""","""",""""
Masters 2017: Sergio Garcia beats Justin Rose in playoff,"Sergio,Garcia,playoff,masters ",20170409,"""","""","""",""""
Preliminary safety trial at Duke University involving stem cell infusions shows early promise for kids with autism," stem,cell,autism",20170405,"""","""","""",""""
"""","""","""","""","""","""",""""
Comment,comments date,emotion,keyword,issue,"""",""""
Deeply saddened by the terrorist attack killing innocent civilians in #Kabul. I condemn the attack & stand in solidarity with the victims,20170503,-1,kabul,1,"""",""""
Three US service members hurt in terrorist attack in #Kabul. Eight people killed. 25 others hurt. Taliban suspected. ,20170503,-1,kabul,1,"""",""""
My heart is with those affected by this senseless act of terror...,20170503,-1,kabul,1,"""",""""
Engineer Ajmal Stanakzai's empty chair after he was killed in today's #Kabul blast. #Afghanistan continues to loose educated sons/daughters.,20170503,-1,kabul,1,"""",""""
I condemn the attack on the #NATO convoy in #Kabul. The fight against terrorism continues. My thoughts are with all those affected.,20170503,-1,kabul,1,"""",""""
ISIS Claims Attack Near US Embassy In Kabul,20170503,-1,kabul,1,"""",""""
Have told this nation & its leaders a million times - Kabul regime is a puppet rabid regime & must only be shot in the head. Final solution!,20170505,-1,kabul,1,"""",""""
"At least 8 killed in #Kabul suicide #blast targeting NATO vehicles, ISIS claims responsibility",20170504,-1,kabul,1,"""",""""
"Afghan army transporting Hekmatyar to Kabul. Until yesterday accodring to #Afghanistan he was an #ISI agent & a terrorist, now a hero?",20170504,-1,kabul,1,"""",""""
A suicide bombing on a U.S. military convoy in Kabul killed 8 Afghans and wounded 3 US service members The fight against terrorism continues ,20170503,-1,kabul,1,"""",""""
